"","Year","County.of.Study","County.of.Origin","value"
"1023","2000","Kildare","Laois",86
"1024","2001","Kildare","Laois",70
"1025","2002","Kildare","Laois",77
"1026","2003","Kildare","Laois",85
"1027","2004","Kildare","Laois",89
"1028","2005","Kildare","Laois",103
"1029","2006","Kildare","Laois",92
"1030","2007","Kildare","Laois",107
"1031","2008","Kildare","Laois",115
"1032","2009","Kildare","Laois",137
"1033","2010","Kildare","Laois",144
"1034","2011","Kildare","Laois",138
"1035","2012","Kildare","Laois",163
"1036","2013","Kildare","Laois",156
"1037","2000","Louth","Laois",6
"1038","2001","Louth","Laois",7
"1039","2002","Louth","Laois",6
"1040","2003","Louth","Laois",6
"1041","2004","Louth","Laois",7
"1042","2005","Louth","Laois",8
"1043","2006","Louth","Laois",6
"1044","2007","Louth","Laois",5
"1045","2008","Louth","Laois",8
"1046","2009","Louth","Laois",4
"1047","2010","Louth","Laois",7
"1048","2011","Louth","Laois",5
"1049","2012","Louth","Laois",8
"1050","2013","Louth","Laois",8
"1051","2000","Westmeath","Laois",86
"1052","2001","Westmeath","Laois",86
"1053","2002","Westmeath","Laois",85
"1054","2003","Westmeath","Laois",84
"1055","2004","Westmeath","Laois",99
"1056","2005","Westmeath","Laois",88
"1057","2006","Westmeath","Laois",101
"1058","2007","Westmeath","Laois",98
"1059","2008","Westmeath","Laois",88
"1060","2009","Westmeath","Laois",105
"1061","2010","Westmeath","Laois",103
"1062","2011","Westmeath","Laois",90
"1063","2012","Westmeath","Laois",118
"1064","2013","Westmeath","Laois",123
"1065","2000","Cork","Laois",53
"1066","2001","Cork","Laois",64
"1067","2002","Cork","Laois",58
"1068","2003","Cork","Laois",56
"1069","2004","Cork","Laois",54
"1070","2005","Cork","Laois",58
"1071","2006","Cork","Laois",58
"1072","2007","Cork","Laois",63
"1073","2008","Cork","Laois",77
"1074","2009","Cork","Laois",76
"1075","2010","Cork","Laois",76
"1076","2011","Cork","Laois",76
"1077","2012","Cork","Laois",96
"1078","2013","Cork","Laois",91
"1079","2000","Kerry","Laois",18
"1080","2001","Kerry","Laois",9
"1081","2002","Kerry","Laois",7
"1082","2003","Kerry","Laois",11
"1083","2004","Kerry","Laois",12
"1084","2005","Kerry","Laois",12
"1085","2006","Kerry","Laois",8
"1086","2007","Kerry","Laois",6
"1087","2008","Kerry","Laois",10
"1088","2009","Kerry","Laois",12
"1089","2010","Kerry","Laois",13
"1090","2011","Kerry","Laois",15
"1091","2012","Kerry","Laois",11
"1092","2013","Kerry","Laois",10
"1093","2000","Limerick","Laois",164
"1094","2001","Limerick","Laois",168
"1095","2002","Limerick","Laois",148
"1096","2003","Limerick","Laois",153
"1097","2004","Limerick","Laois",173
"1098","2005","Limerick","Laois",169
"1099","2006","Limerick","Laois",158
"1100","2007","Limerick","Laois",189
"1101","2008","Limerick","Laois",194
"1102","2009","Limerick","Laois",238
"1103","2010","Limerick","Laois",271
"1104","2011","Limerick","Laois",255
"1105","2012","Limerick","Laois",311
"1106","2013","Limerick","Laois",285
"1107","2000","Tipperary","Laois",1
"1108","2001","Tipperary","Laois",2
"1109","2002","Tipperary","Laois",5
"1110","2003","Tipperary","Laois",10
"1111","2004","Tipperary","Laois",14
"1112","2005","Tipperary","Laois",14
"1113","2006","Tipperary","Laois",15
"1114","2007","Tipperary","Laois",17
"1115","2008","Tipperary","Laois",12
"1116","2009","Tipperary","Laois",15
"1117","2010","Tipperary","Laois",24
"1118","2011","Tipperary","Laois",32
"1119","2012","Tipperary","Laois",0
"1120","2013","Tipperary","Laois",0
"1121","2000","Waterford","Laois",123
"1122","2001","Waterford","Laois",140
"1123","2002","Waterford","Laois",162
"1124","2003","Waterford","Laois",189
"1125","2004","Waterford","Laois",187
"1126","2005","Waterford","Laois",186
"1127","2006","Waterford","Laois",184
"1128","2007","Waterford","Laois",172
"1129","2008","Waterford","Laois",182
"1130","2009","Waterford","Laois",186
"1131","2010","Waterford","Laois",183
"1132","2011","Waterford","Laois",159
"1133","2012","Waterford","Laois",153
"1134","2013","Waterford","Laois",141
"1135","2000","Galway","Laois",121
"1136","2001","Galway","Laois",126
"1137","2002","Galway","Laois",149
"1138","2003","Galway","Laois",139
"1139","2004","Galway","Laois",150
"1140","2005","Galway","Laois",166
"1141","2006","Galway","Laois",177
"1142","2007","Galway","Laois",183
"1143","2008","Galway","Laois",205
"1144","2009","Galway","Laois",207
"1145","2010","Galway","Laois",209
"1146","2011","Galway","Laois",222
"1147","2012","Galway","Laois",225
"1148","2013","Galway","Laois",183
"1149","2000","Sligo","Laois",13
"1150","2001","Sligo","Laois",9
"1151","2002","Sligo","Laois",8
"1152","2003","Sligo","Laois",6
"1153","2004","Sligo","Laois",8
"1154","2005","Sligo","Laois",9
"1155","2006","Sligo","Laois",10
"1156","2007","Sligo","Laois",11
"1157","2008","Sligo","Laois",9
"1158","2009","Sligo","Laois",10
"1159","2010","Sligo","Laois",13
"1160","2011","Sligo","Laois",17
"1161","2012","Sligo","Laois",24
"1162","2013","Sligo","Laois",21
"1163","2000","Donegal","Laois",3
"1164","2001","Donegal","Laois",1
"1165","2002","Donegal","Laois",0
"1166","2003","Donegal","Laois",0
"1167","2004","Donegal","Laois",1
"1168","2005","Donegal","Laois",1
"1169","2006","Donegal","Laois",2
"1170","2007","Donegal","Laois",3
"1171","2008","Donegal","Laois",2
"1172","2009","Donegal","Laois",2
"1173","2010","Donegal","Laois",4
"1174","2011","Donegal","Laois",5
"1175","2012","Donegal","Laois",7
"1176","2013","Donegal","Laois",14
"1191","2000","Carlow","Longford",9
"1192","2001","Carlow","Longford",12
"1193","2002","Carlow","Longford",17
"1194","2003","Carlow","Longford",12
"1195","2004","Carlow","Longford",13
"1196","2005","Carlow","Longford",12
"1197","2006","Carlow","Longford",10
"1198","2007","Carlow","Longford",10
"1199","2008","Carlow","Longford",8
"1200","2009","Carlow","Longford",9
"1201","2010","Carlow","Longford",12
"1202","2011","Carlow","Longford",13
"1203","2012","Carlow","Longford",13
"1204","2013","Carlow","Longford",12
"1205","2000","Dublin","Longford",415
"1206","2001","Dublin","Longford",402
"1207","2002","Dublin","Longford",417
"1208","2003","Dublin","Longford",428
"1209","2004","Dublin","Longford",457
"1210","2005","Dublin","Longford",489
"1211","2006","Dublin","Longford",438
"1212","2007","Dublin","Longford",448
"1213","2008","Dublin","Longford",457
"1214","2009","Dublin","Longford",488
"1215","2010","Dublin","Longford",486
"1216","2011","Dublin","Longford",491
"1217","2012","Dublin","Longford",510
"1218","2013","Dublin","Longford",535
"1219","2000","Kildare","Longford",81
"1220","2001","Kildare","Longford",85
"1221","2002","Kildare","Longford",69
"1222","2003","Kildare","Longford",65
"1223","2004","Kildare","Longford",75
"1224","2005","Kildare","Longford",98
"1225","2006","Kildare","Longford",98
"1226","2007","Kildare","Longford",98
"1227","2008","Kildare","Longford",77
"1228","2009","Kildare","Longford",74
"1229","2010","Kildare","Longford",78
"1230","2011","Kildare","Longford",75
"1231","2012","Kildare","Longford",82
"1232","2013","Kildare","Longford",81
"1233","2000","Louth","Longford",10
"1234","2001","Louth","Longford",8
"1235","2002","Louth","Longford",8
"1236","2003","Louth","Longford",10
"1237","2004","Louth","Longford",10
"1238","2005","Louth","Longford",10
"1239","2006","Louth","Longford",10
"1240","2007","Louth","Longford",8
"1241","2008","Louth","Longford",10
"1242","2009","Louth","Longford",10
"1243","2010","Louth","Longford",16
"1244","2011","Louth","Longford",16
"1245","2012","Louth","Longford",14
"1246","2013","Louth","Longford",14
"1247","2000","Westmeath","Longford",183
"1248","2001","Westmeath","Longford",221
"1249","2002","Westmeath","Longford",226
"1250","2003","Westmeath","Longford",211
"1251","2004","Westmeath","Longford",236
"1252","2005","Westmeath","Longford",203
"1253","2006","Westmeath","Longford",238
"1254","2007","Westmeath","Longford",214
"1255","2008","Westmeath","Longford",216
"1256","2009","Westmeath","Longford",220
"1257","2010","Westmeath","Longford",254
"1258","2011","Westmeath","Longford",273
"1259","2012","Westmeath","Longford",280
"1260","2013","Westmeath","Longford",259
"1261","2000","Cork","Longford",22
"1262","2001","Cork","Longford",15
"1263","2002","Cork","Longford",14
"1264","2003","Cork","Longford",14
"1265","2004","Cork","Longford",12
"1266","2005","Cork","Longford",13
"1267","2006","Cork","Longford",10
"1268","2007","Cork","Longford",9
"1269","2008","Cork","Longford",8
"1270","2009","Cork","Longford",7
"1271","2010","Cork","Longford",8
"1272","2011","Cork","Longford",10
"1273","2012","Cork","Longford",13
"1274","2013","Cork","Longford",16
"1275","2000","Kerry","Longford",3
"1276","2001","Kerry","Longford",4
"1277","2002","Kerry","Longford",1
"1278","2003","Kerry","Longford",1
"1279","2004","Kerry","Longford",4
"1280","2005","Kerry","Longford",3
"1281","2006","Kerry","Longford",3
"1282","2007","Kerry","Longford",3
"1283","2008","Kerry","Longford",3
"1284","2009","Kerry","Longford",2
"1285","2010","Kerry","Longford",2
"1286","2011","Kerry","Longford",2
"1287","2012","Kerry","Longford",1
"1288","2013","Kerry","Longford",4
"1289","2000","Limerick","Longford",51
"1290","2001","Limerick","Longford",63
"1291","2002","Limerick","Longford",56
"1292","2003","Limerick","Longford",53
"1293","2004","Limerick","Longford",48
"1294","2005","Limerick","Longford",47
"1295","2006","Limerick","Longford",45
"1296","2007","Limerick","Longford",49
"1297","2008","Limerick","Longford",57
"1298","2009","Limerick","Longford",59
"1299","2010","Limerick","Longford",57
"1300","2011","Limerick","Longford",61
"1301","2012","Limerick","Longford",50
"1302","2013","Limerick","Longford",45
"1303","2000","Tipperary","Longford",1
"1304","2001","Tipperary","Longford",0
"1305","2002","Tipperary","Longford",0
"1306","2003","Tipperary","Longford",0
"1307","2004","Tipperary","Longford",0
"1308","2005","Tipperary","Longford",0
"1309","2006","Tipperary","Longford",0
"1310","2007","Tipperary","Longford",0
"1311","2008","Tipperary","Longford",0
"1312","2009","Tipperary","Longford",0
"1313","2010","Tipperary","Longford",0
"1314","2011","Tipperary","Longford",0
"1315","2012","Tipperary","Longford",0
"1316","2013","Tipperary","Longford",0
"1317","2000","Waterford","Longford",11
"1318","2001","Waterford","Longford",10
"1319","2002","Waterford","Longford",6
"1320","2003","Waterford","Longford",14
"1321","2004","Waterford","Longford",13
"1322","2005","Waterford","Longford",13
"1323","2006","Waterford","Longford",11
"1324","2007","Waterford","Longford",10
"1325","2008","Waterford","Longford",5
"1326","2009","Waterford","Longford",6
"1327","2010","Waterford","Longford",5
"1328","2011","Waterford","Longford",5
"1329","2012","Waterford","Longford",6
"1330","2013","Waterford","Longford",4
"1331","2000","Galway","Longford",158
"1332","2001","Galway","Longford",142
"1333","2002","Galway","Longford",188
"1334","2003","Galway","Longford",176
"1335","2004","Galway","Longford",195
"1336","2005","Galway","Longford",198
"1337","2006","Galway","Longford",201
"1338","2007","Galway","Longford",216
"1339","2008","Galway","Longford",202
"1340","2009","Galway","Longford",223
"1341","2010","Galway","Longford",237
"1342","2011","Galway","Longford",235
"1343","2012","Galway","Longford",218
"1344","2013","Galway","Longford",203
"1345","2000","Sligo","Longford",126
"1346","2001","Sligo","Longford",102
"1347","2002","Sligo","Longford",116
"1348","2003","Sligo","Longford",119
"1349","2004","Sligo","Longford",153
"1350","2005","Sligo","Longford",156
"1351","2006","Sligo","Longford",149
"1352","2007","Sligo","Longford",132
"1353","2008","Sligo","Longford",118
"1354","2009","Sligo","Longford",141
"1355","2010","Sligo","Longford",141
"1356","2011","Sligo","Longford",124
"1357","2012","Sligo","Longford",109
"1358","2013","Sligo","Longford",115
"1359","2000","Donegal","Longford",15
"1360","2001","Donegal","Longford",11
"1361","2002","Donegal","Longford",15
"1362","2003","Donegal","Longford",11
"1363","2004","Donegal","Longford",9
"1364","2005","Donegal","Longford",12
"1365","2006","Donegal","Longford",13
"1366","2007","Donegal","Longford",16
"1367","2008","Donegal","Longford",12
"1368","2009","Donegal","Longford",14
"1369","2010","Donegal","Longford",9
"1370","2011","Donegal","Longford",12
"1371","2012","Donegal","Longford",12
"1372","2013","Donegal","Longford",10
"1387","2000","Carlow","Louth",18
"1388","2001","Carlow","Louth",18
"1389","2002","Carlow","Louth",16
"1390","2003","Carlow","Louth",19
"1391","2004","Carlow","Louth",17
"1392","2005","Carlow","Louth",19
"1393","2006","Carlow","Louth",18
"1394","2007","Carlow","Louth",20
"1395","2008","Carlow","Louth",14
"1396","2009","Carlow","Louth",18
"1397","2010","Carlow","Louth",19
"1398","2011","Carlow","Louth",29
"1399","2012","Carlow","Louth",32
"1400","2013","Carlow","Louth",35
"1401","2000","Dublin","Louth",1011
"1402","2001","Dublin","Louth",1005
"1403","2002","Dublin","Louth",1098
"1404","2003","Dublin","Louth",1151
"1405","2004","Dublin","Louth",1208
"1406","2005","Dublin","Louth",1177
"1407","2006","Dublin","Louth",1209
"1408","2007","Dublin","Louth",1244
"1409","2008","Dublin","Louth",1296
"1410","2009","Dublin","Louth",1313
"1411","2010","Dublin","Louth",1416
"1412","2011","Dublin","Louth",1462
"1413","2012","Dublin","Louth",1581
"1414","2013","Dublin","Louth",1632
"1415","2000","Kildare","Louth",111
"1416","2001","Kildare","Louth",127
"1417","2002","Kildare","Louth",150
"1418","2003","Kildare","Louth",177
"1419","2004","Kildare","Louth",172
"1420","2005","Kildare","Louth",201
"1421","2006","Kildare","Louth",214
"1422","2007","Kildare","Louth",200
"1423","2008","Kildare","Louth",196
"1424","2009","Kildare","Louth",234
"1425","2010","Kildare","Louth",296
"1426","2011","Kildare","Louth",307
"1427","2012","Kildare","Louth",356
"1428","2013","Kildare","Louth",364
"1429","2000","Louth","Louth",1124
"1430","2001","Louth","Louth",1081
"1431","2002","Louth","Louth",1186
"1432","2003","Louth","Louth",1233
"1433","2004","Louth","Louth",1380
"1434","2005","Louth","Louth",1375
"1435","2006","Louth","Louth",1378
"1436","2007","Louth","Louth",1359
"1437","2008","Louth","Louth",1391
"1438","2009","Louth","Louth",1530
"1439","2010","Louth","Louth",1779
"1440","2011","Louth","Louth",1848
"1441","2012","Louth","Louth",1556
"1442","2013","Louth","Louth",1629
"1443","2000","Westmeath","Louth",21
"1444","2001","Westmeath","Louth",26
"1445","2002","Westmeath","Louth",28
"1446","2003","Westmeath","Louth",40
"1447","2004","Westmeath","Louth",32
"1448","2005","Westmeath","Louth",21
"1449","2006","Westmeath","Louth",23
"1450","2007","Westmeath","Louth",12
"1451","2008","Westmeath","Louth",12
"1452","2009","Westmeath","Louth",11
"1453","2010","Westmeath","Louth",19
"1454","2011","Westmeath","Louth",15
"1455","2012","Westmeath","Louth",20
"1456","2013","Westmeath","Louth",25
"1457","2000","Cork","Louth",33
"1458","2001","Cork","Louth",33
"1459","2002","Cork","Louth",30
"1460","2003","Cork","Louth",25
"1461","2004","Cork","Louth",20
"1462","2005","Cork","Louth",30
"1463","2006","Cork","Louth",28
"1464","2007","Cork","Louth",18
"1465","2008","Cork","Louth",22
"1466","2009","Cork","Louth",19
"1467","2010","Cork","Louth",14
"1468","2011","Cork","Louth",17
"1469","2012","Cork","Louth",16
"1470","2013","Cork","Louth",32
"1471","2000","Kerry","Louth",4
"1472","2001","Kerry","Louth",3
"1473","2002","Kerry","Louth",3
"1474","2003","Kerry","Louth",4
"1475","2004","Kerry","Louth",0
"1476","2005","Kerry","Louth",0
"1477","2006","Kerry","Louth",2
"1478","2007","Kerry","Louth",3
"1479","2008","Kerry","Louth",4
"1480","2009","Kerry","Louth",6
"1481","2010","Kerry","Louth",6
"1482","2011","Kerry","Louth",7
"1483","2012","Kerry","Louth",8
"1484","2013","Kerry","Louth",9
"1485","2000","Limerick","Louth",51
"1486","2001","Limerick","Louth",57
"1487","2002","Limerick","Louth",45
"1488","2003","Limerick","Louth",44
"1489","2004","Limerick","Louth",39
"1490","2005","Limerick","Louth",28
"1491","2006","Limerick","Louth",50
"1492","2007","Limerick","Louth",52
"1493","2008","Limerick","Louth",40
"1494","2009","Limerick","Louth",39
"1495","2010","Limerick","Louth",29
"1496","2011","Limerick","Louth",29
"1497","2012","Limerick","Louth",32
"1498","2013","Limerick","Louth",42
"1499","2000","Tipperary","Louth",0
"1500","2001","Tipperary","Louth",0
"1501","2002","Tipperary","Louth",1
"1502","2003","Tipperary","Louth",1
"1503","2004","Tipperary","Louth",2
"1504","2005","Tipperary","Louth",1
"1505","2006","Tipperary","Louth",0
"1506","2007","Tipperary","Louth",0
"1507","2008","Tipperary","Louth",1
"1508","2009","Tipperary","Louth",0
"1509","2010","Tipperary","Louth",1
"1510","2011","Tipperary","Louth",1
"1511","2012","Tipperary","Louth",0
"1512","2013","Tipperary","Louth",0
"1513","2000","Waterford","Louth",34
"1514","2001","Waterford","Louth",30
"1515","2002","Waterford","Louth",21
"1516","2003","Waterford","Louth",25
"1517","2004","Waterford","Louth",25
"1518","2005","Waterford","Louth",22
"1519","2006","Waterford","Louth",31
"1520","2007","Waterford","Louth",31
"1521","2008","Waterford","Louth",36
"1522","2009","Waterford","Louth",30
"1523","2010","Waterford","Louth",20
"1524","2011","Waterford","Louth",24
"1525","2012","Waterford","Louth",21
"1526","2013","Waterford","Louth",23
"1527","2000","Galway","Louth",111
"1528","2001","Galway","Louth",115
"1529","2002","Galway","Louth",111
"1530","2003","Galway","Louth",115
"1531","2004","Galway","Louth",94
"1532","2005","Galway","Louth",88
"1533","2006","Galway","Louth",81
"1534","2007","Galway","Louth",79
"1535","2008","Galway","Louth",69
"1536","2009","Galway","Louth",66
"1537","2010","Galway","Louth",81
"1538","2011","Galway","Louth",78
"1539","2012","Galway","Louth",93
"1540","2013","Galway","Louth",106
"1541","2000","Sligo","Louth",17
"1542","2001","Sligo","Louth",22
"1543","2002","Sligo","Louth",24
"1544","2003","Sligo","Louth",22
"1545","2004","Sligo","Louth",23
"1546","2005","Sligo","Louth",23
"1547","2006","Sligo","Louth",20
"1548","2007","Sligo","Louth",17
"1549","2008","Sligo","Louth",18
"1550","2009","Sligo","Louth",25
"1551","2010","Sligo","Louth",36
